company_id,broker_id,name,licence_number,year_founded,employees,headquarters,description,offices
42,51,"Hantec Markets Limited, Hantec Markets Limited Jordan, Hantec Capital Group Holdings Limited","<a href=""https://www.fscmauritius.org/en/supervision/register-of-licensees/register-of-licensees-details?licence_no=C114013940&key=&cat=_GB&code="">FSC MU C114013940</a>,<a href=""https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MgGEBAA3"">FCA UK 502635</a>",2009,30+,"United Kingdom, Mauritius","<p><img alt="""" src=""/upload/Imagini_Descriere/Hantec_Markets_description.jpg"" style=""float:left; height:165px; width:350px"" />Established in 1990, the Hantec Group mission is to provide customised and professional wealth-management services to help its customers create and accumulate wealth.</p>

<p>Hantec Pacific Limited (HPL) is a multinational finance house based in Hong Kong. It provides full-service professional financial services to investors through its branches and subsidiaries across major cities in the world.</p>

<p>In 2008, it underwent a strategic group reorganisation. Its purpose was to optimise business performance, enlarge overseas markets and enhance customer service quality by offering tailor-made services.</p>

<p>HPL will further develop its sustainability and offer a variety of foreign exchange and bullion trading services. These include an intelligent online trading platform, real-time market quotation, and updated global market information.</p>","Australia, Hong Kong, Mauritius, United Arab Emirates, United Kingdom"
43,52,"AFX Capital Markets Ltd, AFX Markets Ltd","CySEC 119/10, FCA UK 560872",2010,50+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/STO_description.jpg"" style=""float:left; height:174px; width:200px"" />SuperTradingOnline (STO) offers clients different ways of trading the financial markets. You can trade forex, indices, commodities, equities and bonds.</p>

<p>We are regulated by the UK Financial Conduct Authority (FCA) and Cyprus Securities Exchange Commission (CySEC), ensuring a trustworthy relationship with our clients.We offer a number of different account types to suit your needs. From our MT4 Classic account, suitable for most traders including beginners, through to our STO Premium account, which offers tighter spreads and ECN trading conditions, and our AFX Fast platform, which offers institutional level forex and metals trading conditions.</p>
","Cyprus, China, Italy, South Africa, United Kingdom"
44,53,"X GLOBAL Markets Ltd","<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37567/"">CySEC 171/12</a>",2012,20+,"Cyprus, Vanuatu","<p><img alt="""" src=""/upload/Imagini_Descriere/X-Global-Markets_description.png"" style=""float:left; height:99px; width:290px"" />XGLOBAL Markets has taken a revolutionary approach to online Forex trading for the main purpose of delivering an unparalleled trading environment with the most competitive conditions and without any classification. Essentially all efforts have been focused on providing the most superior trading experience.</p>

<p>Our goal is clear: to provide to all our clients with the tools and services they require for better trading, and to maximize their trading profit potential. This is reflected in our choice to use the MetaTrader 5&nbsp;platform which is universally recognized as the preferred platform for traders of all levels.</p>

<p>We will continue to invest heavily in your needs by providing the tools and services to assist you in making more informed trading decisions.</p>
",N/A
45,56,"Direct FX Trading Pty Ltd","<a href=""https://connectonline.asic.gov.au/RegistrySearch/faces/landing/panelSearch.jspx?searchType=OrgAndBusNm&searchText=120189424&_adf.ctrl-state=11z0s2zmld_4"">ASIC 305539</a>",2006,30+,Australia,"<p><img alt="""" src=""upload/Imagini_Descriere/DirectFX.png"" style=""float:left; height:155px; width:310px"" />Founded in 2006 Direct FX Trading Pty Ltd. is a leader in providing foreign exchange services. Our success is driven by our people and their unrelenting focus on delivering results the right way&mdash;by operating responsibly, executing with excellence, applying innovative technologies and capturing new opportunities for our customers to grow.We are involved in virtually every facet of the forex industry.</p>

<p>Our Mission at Direct FX is to provide the best trading environment in the forex industry. Our team of dedicated professionals work tirelessly to assure traders at Direct FX have the tools and resources they need.</p>
","Australia, United States of America"
46,57,"KVB Kunlun Pty Limited, KVB Kunlun New Zealand Limited, KVB Kunlun International (HK) Limited, KVB Kunlun Securities (HK) Limited, KVB Kunlun Canada Inc, KVB Global Markets Limited, KVB Global Markets Pty Limited","FSP NZ 1782，ASIC 226602, SFC HK ALB893",2002,250+,"New Zealand","<p><img alt="""" src=""upload/Imagini_Descriere/KVB-Kunlum_description.jpg"" style=""float:left; height:169px; width:300px"" />KVB Kunlun is an international financial services corporation with operations in Auckland, Sydney, Melbourne, Toronto, Hong Kong and Beijing. We pride ourselves on our professional and disciplined approach to financial markets, as is evidenced by the granting of authorisations and licences by regulators in New Zealand, Australia, Canada and Hong Kong.</p>

<p>We have a global team of financial specialists dedicated to providing truly visionary investment services. The initials in our name - KVB - remind us of our mission to use our expert knowledge and versatility to break the barriers of traditional investment services, revolutionising our clients&#39; investment experience.</p>

<p>KVB Kunlun offers a unique combination of international strength and local flexibility that has helped propel our rapid global expansion and placed us at the forefront of international global financial services.</p>
","Australia, Canada, Hong Kong, New Zealand"
47,58,"Swissquote Group Holding Ltd, Swissquote Bank Ltd, Swissquote Ltd, Swissquote MEA Ltd, Swissquote Asia Ltd, Swissquote Financial Services (Malta) Limited","FINMA, FCA UK",1996,600+,Switzerland,"<p><img alt="""" src=""/upload/Imagini_Descriere/Swissquote_Representative_image.jpg"" style=""float:left; height:194px; width:350px"" />Swissquote was established in 1996 and has emphasized technological innovation ever since, rapidly becoming the undisputed Swiss leader in online trading and financial services.</p>

<p>Today, we rank among the top 10 online Forex brokers in the world, empowering over 400,000 private investors and institutional clients to trade a wide range of currencies, commodities and indices.</p>

<p>As Swissquote Bank is also a regulated bank, traders and partners benefit from the highest Swiss banking security and transparency standards.</p>

<p>We are committed to the success of our clients and provide them with exclusive access to market research, learning resources, 24/5 multilingual support and advanced trading tools.</p>","Hong Kong, Switzerland, United Arab Emirates, United Kingdom"
48,59,"Fintech Ltd",,2012,30,"New Zealand",,"New Zealand"
49,60,"OANDA Europe Limited ","FCA UK 542574",1996,300+,"United States of America","<p><img alt="""" src=""upload/Imagini_Descriere/oanda_asset.png"" style=""float:left; height:186px; width:253px"" />OANDA was founded on the belief that technology and the Internet would globalize the marketplace, creating an unprecedented need for currency-related products and services. Today, the global forex market trades over $4 trillion/day (30 times larger than NASDAQ and NYSE combined), with online retail trading a rapidly growing part of that market.<br />
<br />
Possessing one of the world&#39;s largest and most accurate databases of currency rates, OANDA was the first in 1995 to offer a broad range of currency exchange-rate information free of charge over the Web. Today, it handles more than a million queries a day.</p>

<p>In 1997 OANDA became an Internet-based business-to-business application service provider (ASP) and currently services over 75,000 ASP clients around the world.</p>

<p>OANDA was co-founded by Dr. Michael Stumm, a professor of Computer Engineering at the University of Toronto, and Dr. Richard Olsen of The Olsen Ltd., a leading econometric research and development firm. The company was incorporated in the state of Delaware in 1996.</p>
","Australia, Canada, Japan, Singapore, United Kingdom, United States of America"
50,62,"Alpha Capital Markets Plc","FCA UK 441689",2004,50+,"United Kingdom","<p><img alt="""" src=""upload/Imagini_Descriere/Alpha_Capital_Markets.png"" style=""float:left; height:255px; width:260px"" />As Alpha&#39;s reputation and product offering grew, so did its global reach attracting significant worldwide business through a network of valued partners and client word-of-mouth, especially from the Middle East and Asia.</p>

<p>Today Alpha has an office based in the heart of Dubai&#39;s business district to help provide the highest standards of local service that the region demands. Over the past ten years Alpha Capital Markets has experienced exceptional growth in both retail and institutional business based around its core values of transparency, integrity and expertise. Alpha&#39;s forward-thinking approach to the industry means that it continues to develop its product offering within new markets and fostering advanced new technology to remain at the forefront of online trading.</p>
","United Arab Emirates, United Kingdom"
51,63,"FIBO Group Holdings Limited, FIBO Group Ltd, FONTEN CORPORATION LIMITED"," FSC BVI SIBA/L/14/1063, <a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37679/"">CySEC 118/10</a>",1998,250+,"British Virgin Islands","<p><img alt="""" src=""/upload/Imagini_Descriere/FIBOGroup.jpg"" style=""float:left; height:178px; width:230px"" />International Financial Holding FIBO Group&nbsp;(Financial Intermarket Brokerage Online Group) is one of the oldest players in marginal internet trading.</p>

<p>The first company of the holding was founded in 1998. From the first day of our work, we always adhere to the principles of transparent activities, to protect the interests of customers and strict compliance of observance applicable laws and orders of national regulators.</p>

<p>Our customers and partners can be assured that all services, provided by any of the companies within the holding FIBO Group, meet the highest international standards and are under the control of national regulators.</p>
","Austria, British Virgin Islands, Chile, China, Cyprus, Germany, Russia, Singapore"
52,64,"Lau Global Services Corporation","IFSC 60/402/TS/15",2012,150+,Belize,"<p><img alt="""" src=""upload/Imagini_Descriere/MxTrade_description.png"" style=""float:left; height:212px; width:278px"" />MXTrade is one of the leading Forex brokers and a brand owned and operated by Lau Global Services Corporation, a financial services company. MXTrade offers traders&rsquo; reliable online trading services and serves both retail and institutional clients from over 140 countries worldwide. MXTrade utilizes the most popular and developed trading technologies in the industry and provides robust and reliable Online Forex Trading.</p>

<p>The MXTrade brokerage was founded by a group of financial professionals with over 50 years of experience in the Forex Industry. MXTrade strives to ensure that clients of all levels are offered the best trading conditions and the best support from our dedicated Account Managers to ensure they achieve Forex trading success.</p>
","Australia, Belize, Bahrain, Cyprus, Denmark, Germany, Ireland, Italy, Japan, Switzerland, South Africa, Turkey, Ukraine, United Kingdom"
53,65,"Henyep Capital Markets (UK) Limited, HYCM (Europe) Ltd, HYCM Ltd, Henyep Capital Markets (DIFC) Limited","<a href=""https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfHH0AAN"">FCA UK 186171</a>, <a href=""https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/42663/"">CySEC 259/14</a>, <a href=""https://www.cima.ky/search-entities"">CIMA 1442313</a>, <a href=""http://www.dfsa.ae/Public-Register/Firm?F=F000048"">DFSA F000048</a>",2007,200+,"United Kingdom","<p><img alt="""" src=""/upload/Imagini_Descriere/HYCM_description.jpg"" style=""float:left; height:100px; width:250px"" />HYCM is headquartered in London and is authorized and regulated by the Financial Conduct Authority of the United Kingdom. The Group has over 30 years of operational history and we are the trading platform of choice for investors seeking fast and direct access to the world&#39;s capital markets.</p>

<p>This long-standing expertise and commitment to technology and customer service, has enabled us to develop multiple trading platforms to meet our clients&#39; needs. Trade via the industry leading MT4 platform, via the newest MT5 platform or our mobile platforms for the iPhone, iPad and Android devices.</p>

<p>Our complete trading experience is supported by our professional dedicated customer service team who caters to your individual needs and experience levels.</p>
","Cyprus, Hong Kong, United Arab Emirates"
54,66,"SN Financials Ltd, Fidelis Capital Markets Limited","<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37596/"">CySEC 208/13</a>",2011,30+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/Fidelis-CM_description.png"" style=""float:left; height:120px; width:300px"" />The brand Fidelis Capital Markets was founded in 2013 in Cyprus by a group of leading FX specialists with recognized experience in brokerage services and technology. The company is regulated by CySEC &ndash;Cyprus Securities and Exchange Commission (no.208/13) It is also registered or authorized by a number of professional and governmental bodies, such as FCA, BaFIN, CNMV, MiFID etc.</p>

<p>Fidelis Capital Markets (FCM) is an FX brokerage founded by leading industry experts with a clear understanding of what each trader needs. Our modus operandi centres on client satisfaction, offering the best FX trading products as well as conditions all within a pure STP flawless trading environment.</p>
","Cyprus, India, United Arab Emirates"
55,67,"ADS Securities London Limited","<a href=""https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMhDNAA1"">FCA UK 577453</a>",2014,50+,"United Arab Emirates","<p><img alt="""" src=""upload/Imagini_Descriere/ADS-Securities-UK_description.png"" style=""float:left; height:169px; width:300px"" />ADS Securities London is a wholly owned subsidiary of Abu Dhabi based ADS Holding LLC, and works in partnership with ADS Securities LLC, which is also a subsidiary of ADS Holding, to provide high quality trading solutions. ADS Securities LLC is regulated by the Central Bank of the UAE and was established in 2010 with paid up capital of US$400 million.</p>

<p>Led by an exciting and forward thinking management team with a wide range of international experience ADS London uses new proprietary, &lsquo;best-in-class&rsquo; technology to access a mix of deep bank, non-bank and Middle East liquidity. This gives our clients excellent pricing, high quality execution and very good fill ratios.</p>
","Hong Kong, Singapore, United Arab Emirates, United Kingdom"
56,69,"LMAX New Zealand Limited, LMAX Global, LMAX Group",FSP612509,2010,50+,"United Kingdom","<p>LMAX Global is a leading regulated broker and part of the LMAX Group.</p>

<p>Servicing retail brokers, proprietary trading firms and professional traders, LMAX Global offers access to deep institutional liquidity, tight spreads and transparent, precise execution with no &rsquo;last look&rsquo; rejections. Clients can trade over 100 instruments, including FX, metals, equity indices, commodities and crypto CFDs, and have access to global infrastructure in Equinix London (LD4), New York (NY4) &amp; Tokyo (TY3).</p>

<p>&rsaquo; Tight spreads on deep institutional liquidity from top tier banks and LPs<br />
&rsaquo; Transparent execution with no &lsquo;last look&rsquo; rejections<br />
&rsaquo; Trusted, regulated trading environment<br />
&rsaquo; Over 100 instruments: FX, metals, equity indices, commodities and crypto CFDs<br />
&rsaquo; LMAX Global is part of the LMAX Group, the leading operator of institutional execution venues for FX and cryptocurrency trading</p>
","Cyprus, Gibraltar, Hong Kong, New Zealand"
57,70,"AMarkets Ltd","<a href=""https://www.amarkets.com/about-amarkets/regulation/"">FSA SVG 22567</a>",2007,60+,Montenegro,"<p><img alt="""" src=""https://static.aforextrading.com/pictures/3196/original.png"" style=""float:left; height:200px; width:200px"" />AMarkets is a leading financial broker providing an extensive variety of electronically traded products including Forex, Metals, Commodities and CFDs for clients around the Globe.</p>

<p>Offering direct access to global markets we execute thousands transactions per day and supply our clients with all the necessary tools for self and algorithmic trading along with advanced money management solutions.</p>

<p>Our core mission is to continuously improve our trading environment and increase client profitability, providing them with the best in class financial toolkits and advisors.</p>
",Montenegro
58,71,"AETOS Capital Group (UK) Limited, AETOS Capital Group Pty Ltd ","ASIC 313016, FCA UK 592778",2007,250+,Australia,"<p><img alt="""" src=""upload/Imagini_Descriere/Aetos_CG_UK.png"" style=""float:left; height:191px; width:253px"" />AETOS Capital Group (AETOS) is a renowned global online broker specializing in financial products trading services. AETOS is committed to providing retail and corporate clients with diversified financial products, such as CFDs in Forex, metals, energy, stocks, indices and agriculture.</p>

<p>AETOS also aims to build a world-class trading platform for investors and to provide advanced technology and reliable customer service.</p>

<p>AETOS, with its corporate headquarters in Sydney and European headquarters in London, has businesses that covers most of the Asia&ndash;Pacific and is expanding globally.</p>
","Australia, China"
59,72,"Land Prime Ltd, Land-FX UK Ltd","FSA SVG 23627 IBC 2016, FCA UK 709866",2013,50+,"United Kingdom","<p><img alt="""" src=""/upload/Imagini_Descriere/Land-FX_description.jpg"" style=""float:left; height:200px; width:350px"" />Land-FX is a professional FOREX company operating international branches in 13 countries. Land-FX was established by the industry experts with many years of broad and hands-on experience in the financial markets.</p>

<p>Land-FX is a FCA, FSA regulated forex broker offering for trading Forex, CFDs, CFDS on Spot metals. Land-FX works from 2013 and has firmly established itself as a global broker. Land-FX offers trading on MetaTrader4 and MetaTrader5 terminals with unlimited leverage.</p>

<p>Land-FX&rsquo; mission is to provide the best services and creative solutions to their clients and help them grow together in this fast-paced global financial market.</p>

<p>For the safety of our clients&#39; funds, we chose NZ Westpac bank as our custodial account. We believe New Zealand is a safe and trustworthy country in the financial fields. We do our best to keep our clients&#39; funds safe and we are open to receive complaints 24 hours. We believe that is an essential element for our business and the company to grow.</p>","Saint Vincent and the Grenadines"
60,73,"Quantix Financial Services Ltd.","FSA Seychelles License: #SD021",2010,20+,Seychelles,"<p><img alt="""" src=""/upload/Imagini_Descriere/Yadix_description.jpg"" style=""float:left; height:135px; width:300px"" />Yadix provides a professional and competitive forex trading environment for self traders, EA users, EA developers, forex scalpers, hedgers, investors and fund managers. The trading environment delivers superior order execution with no re-quotes and low spreads across all forex instruments.</p>

<p>By providing regulated trading services, clients can rest assured that the STP (Straight through Processing) no risk forex model offers anonymous trading and the best trading practices to ensure fast and efficient execution of forex orders. No trading restrictions on stops or pending orders, no conflict of interest and no manipulation on orders are standard practice.</p>
","United Kingdom"
61,74,"Tradeview LTD","CIMA 585163",2006,35+,"Cayman Islands","<p><img alt="""" src=""/upload/Imagini_Descriere/Tradeview_description.jpg"" style=""float:left; height:157px; width:300px"" />Tradeview was established in 2004 with a vision: To provide unmatched online trading solutions to a broad range of traders and investors around the world. We are more than just a brokerage, Tradeview gives its clients the latest trading technology, flexibility and personal support with our cultivated team of industry professionals. This means 24 hour trade support and streamlined administrative procedures to ensure your needs are met with speed and accuracy.</p>

<p>Tradeview is a fully registered Broker/Dealer under the regulations of the Cayman Island Monetary Authority.</p>","Cayman Islands, Colombia, Peru, United States of America, Vietnam"
62,75,"Trive International Ltd., Trive Financial Services Malta Limited, Trive South Africa (Pty) Ltd, Trive New York LLC, Trive Financial Services UK Limited, Trive Financial Services Australia Pty Ltd., Trive Financial Services Ltd.","<a href=""https://www.trive.com/int/about/regulations"">BVI FSC SIBA/L/14/1066, MFSA (MiFID) CRES-IF-5048, FSCA ZA FSP No. 27231, FINRA  CRD No. 21946, FCA UK 501320,  ASIC AFS 424122, FSC MU GB21026295</a>",2012,400+,"British Virgin Islands, Malta, United Kingdom, South Africa, Australia, United States of America","<p><img alt="""" src=""/upload/Imagini_Descriere/trive-banner.png"" style=""float:left; height:250px; width:300px"" /></p>

<p>Trive Financial Holdings, based in the Netherlands, is a group of financial companies providing global investment, credit, banking, wealth and insurance services.</p>

<p>Trive Investment B.V. delivers investment services through its investment platform. It has wholly owned subsidiaries spanning the globe from the United States to Europe, Africa, the Middle East, Indonesia, Australia, and Southeast Asia. Upholding the trust of tens of thousands of investors, Trive-named companies hold licenses from reputable regulatory authorities worldwide, including the Financial Conduct Authority (FCA) in the United Kingdom, the Financial Industry Regulatory Authority (FINRA) in the United States, the Australian Securities and Investments Commission (ASIC) in Australia, the Malta Financial Services Authority (MFSA) in Malta, the Central Bank of Hungary (Magyar Nemzeti Bank) in Hungary, the Capital Markets Board (CMB) in T&uuml;rkiye, the Commodity Futures Trading Regulatory Agency (BAPPEBTI) in Indonesia, the Financial Sector Conduct Authority (FSCA) in South Africa, the Financial Services Commission (FSC) in Mauritius, and the Financial Services Commission (FSC) in the British Virgin Islands.<br />
<br />
Offering investors agile customer support and rich investment experience, Trive is committed to constant innovation based on the client&#39;s needs. Trive keeps evolving continuously to meet market challenges and to provide a competitive edge in an ever-changing investment environment.</p>

<p>Trive Credit B.V., provides digital lending services in Europe and Australia. It uses AI-based credit scoring technology for a seamless digital lending process. Its core customer segment is comprised of individuals with a need for short to medium-term loans, who value speed, transparency, and convenience of the service.</p>

<p>Trive Bank offers a comprehensive digital experience for those looking for swift solutions to their financial needs. Deriving its infrastructural strength from Trive Financial Holding, the products Trive Bank offers are mainly consumer loans, additional lines of credit, and digital banking services.</p>

<p>Trive Portf&ouml;y is an asset management company subject to the regulatory oversight of the CMB. The organization&#39;s activities encompass supervising mutual funds and providing private portfolio management services to investors. Investment services company Trive Yatırım and brokerage firm TFG Istanbul are also authorized and regulated by the CMB.</p>

<p>Trive Sigorta offers insurance brokerage services to corporations, individuals, and SMEs throughout Turkey. It procures insurance policies for its clients from various insurers under the most advantageous terms. The company possesses brokerage licenses from the Insurance and Private Pension Regulation and Supervision Agency (SEDDK/IPPRS) for life, non-life, and reinsurance.</p>","Cambodia, China, Indonesia, Malaysia, Thailand, Vietnam, Turkey, Germany, Spain"
63,76,"FXDD Global Limited","MFSA IS/48817",2002,250+,Malta,"<p>Headquartered in Malta, an emerging hub for foreign exchange trading and global finance, FXDD employs a diverse workforce of over 180 Forex specialists fluent in 13 languages. We offer trading solutions to individual and institutional traders, hedge funds, money managers, white labels, and introducing brokers; all of which are tailored to each specific trader&#39;s needs and strategies.</p>

<p>Our global reach and ability to develop cutting-edge tools at a rate that outpaces other brokerages has helped FXDD develop into global force in Forex. And as we continue to develop, so too will our offerings and technologies; giving traders the opportunity to make the most of the currency market.</p>
","Malta, United States of America"
64,77,"Capital Index (UK) Ltd","<a href=""https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000sBRpkAAG"">FCA UK 709693</a>, <a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/40632/"">CySEC 249/14</a>",2014,20+,"United Kingdom","<p><img alt="""" src=""upload/Imagini_Descriere/Capital-Index_description.png"" style=""float:left; height:104px; width:300px"" />Founded in 2014, Capital Index is a global online brokerage specialised in CFDs, Financial Spread Betting and Spread Trading on a range of financial instruments including Foreign Exchange (FX), Commodities, Indices and Metals.</p>

<p>With operations in the UK, Australia, South Africa and Cyprus the company is staffed by experienced traders and professionals with distinguished reputations in the financial market, offering in-depth knowledge, strong client focus and total commitment to ethical standards.</p>

<p>They are supported by an advanced technical infrastructure that provides an outstandingly efficient, rapid online trading environment.</p>
","Australia, Cyprus, South Africa, United Kingdom"
65,79,"Valutrades Limited, VALUTRADES (SEYCHELLES) LIMITED","<a href=""https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMcgu"">FCA UK 586541</a>, FSA SC SD028",2013,30+,"United Kingdom","<p><img alt="""" src=""/upload/Imagini_Descriere/Valutrades-description.png"" style=""float:left; height:250px; width:300px"" />Valutrades stands for professionalism, education and quality service.</p>

<p>Our focus is on our clients and building long term relationships with them and our partners. We deliver a level, transparent playing field for our clients and whilst our competitors may &ldquo;over promise and under deliver&rdquo; our philosophy is to always exceed expectations.</p>

<p>Valutrades Limited is based in London at the heart of Europe`s main financial hub and we are regulated by the Financial Conduct Authority (FCA) - license number 586541. Valutrades is a member of the Investors Compensation&nbsp; Scheme. Protection of clients funds is paramount with segregated BARCLAYS (UK) accounts.&nbsp;</p>

<p>VALUTRADES (SEYCHELLES) LIMITED is a limited liability company registered in the Republic of Seychelles with its registered office at F20, 1st Floor, Eden Plaza, Eden Island, Seychelles. VALUTRADES (SEYCHELLES) LIMITED is authorized and regulated by the Financial Services Authority of the Seychelles. Securities Dealer License No SD028.</p>",Seychelles
66,80,"Tickmill Europe Ltd","<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/74706/"">CySEC 278/15</a>",2015,10+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/ViproMarkets_description.jpg"" style=""float:left; height:169px; width:300px"" />Vipro Markets is a global regulated securities broker, with a prime focus on Forex, Stock Indices, commodities, CFDs and precious metals. We serve both institutional and retail clients from all over the world, always with a keen passion to offer services of the highest calibre and utmost transparency.</p>

<p>Vipro Markets Ltd is authorised and regulated by the Cyprus Securities and Exchange Commission (CySEC), with licence number 278/15, and is a Member of the Investor Compensation Fund (ICF).</p>
",Cyprus
67,82,"Nuntius Brokerage & Investment Services S.A.","HCMC 1/46/10.7.1990",2009,40+,Greece,"<p>KeyStock offers across-the-board product selection and powerful trading platforms. From Forex to Indices, Commodities and Stocks (Share CFDs), the KeyStock customer can trade whatever financial products their strategy calls for and benefit from up to 200:1 leverage and the option of either fixed or floating spreads. As for trading platforms, KeyStock currently maintains a bank of seven &ndash; from the No.1 rated MetaTrader 4 to the downloadable, windows-based MarketTrader and the recently launched iPhone/iPad application. With a strong reputation from 1991, KeyStock is your trusted partner for your investing needs!</p>
","Czech, Greece, Poland, Romania, Spain"
68,83,"Leadcapital Markets Ltd","CySEC 227/14",2013,40+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/Trade.com_description.jpg"" style=""float:left; height:213px; width:280px"" />TRADE.com is a brand name of Leadcapital Markets Ltd, a brokerage house licensed and regulated by CySec, compliant with the MiFID (EU) and registered with the regulatory bodies of all EU member states including but not limited to, <a href=""http://www.fsa.gov.uk/register/firmPassports.do?sid=340498"" target=""_blank"">FCA(United Kingdom)</a>, AMF (France) and BaFin (Germany).</p>

<p>We follow very strict guidelines with regards to our clients&rsquo; funds, ensuring they are kept in reputable Tier 1 banks and at all times segregated from the company&rsquo;s own funds. Additionally we appreciate the importance of keeping all our clients&rsquo; personal information strictly confidential and have implemented strict website security and information safekeeping procedures.</p>
",Cyprus
69,84,"GBE Brokers Ltd","<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/40644/"">CySEC 240/14</a>",2015,25+,Cyprus,"<p><img alt="""" src=""/upload/Imagini_Descriere/GBE-Brokers.jpg"" style=""float:left; height:300px; width:300px"" /></p>

<p>GBE brokers is a regulated CFD broker with a German office in the Port of Hamburg and also a Cyprus office in Limassol. Our young and professional team has been deliberately put together in a multicultural way so that you can benefit from our international and extensive banking and financial market experience.</p>

<p>Because with our experience, competence and focus on the needs of our traders, we continuously improve our processes, the scope of our services and our product portfolio. Therefore, a central theme in this development is our right to fair and direct communication with customers, employees and partners. Only in this way can we continue to advance the company&rsquo;s vision of &ldquo;&rdquo;making online trading more accessible to private individuals&rdquo;&rdquo; with our understanding of honesty and transparency. We are proud that we have already successfully implemented this and GBE brokers is one of the most successful CFD providers in Germany today.</p>

<p>GBE brokers would probably be nothing without the large base of loyal customers to whom we offer the best possible trading experience with our constant renewals. We understand that every trader has individual needs and different trading strategies or investment goals. That is why we have designed our innovative trading service to seamlessly adapt to your needs.</p>

<p>Our service is particularly aimed at German-speaking private clients and institutional clients with an international focus who wish to trade Forex and CFDs with us. With us, you can rely on a personal contact person with a good overview and sound expertise. Your personal contact person can accompany you every step of the way and is available to answer any questions you may have about our trading platforms or your trading account. In this ongoing process, your opinion is extremely important to us and we will do everything we can to develop our services so that you are always satisfied with GBE brokers.</p>
",Germany
70,85,"Dukascopy Europe IBS AS, Dukascopy Bank SA","<a href=""https://www.fktk.lv/en/"">FCMC</a>",2011,100+,Latvia,"<p><img alt="""" src=""/upload/Imagini_Descriere/Dukascopy_description.png"" style=""float:left; height:150px; width:400px"" />Dukascopy Europe IBS AS is an EU licensed investment brokerage company which is 100% owned by Swiss Forex bank Dukascopy Bank SA.<br />
Dukascopy Europe offers an access to the Swiss Foreign Exchange Marketplace.</p>

<p>This market provides the largest pool of ECN spot forex liquidity available for banks, hedge funds, other institutions and professional traders.</p>

<p>By combining access to the Swiss Foreign Exchange Marketplace with an enhanced trading platform and strong financial services via its banking partnerships, Dukascopy Europe and SWFX Swiss FX Marketplace continues to set the global industry-standard for ECN forex trading.</p>

<p>EU license allows Dukascopy Europe to be an eligible counterparty for both private and institutional clients in any of 28 EU countries.</p>","Latvia, Switzerland"
71,86,"Solforex (Sol Market Limited Partnership)","<a href=""https://www.business.govt.nz/fsp/app/ui/fsp/version/searchSummaryCompanyFSP/FSP308906/2.do"">FSP 308906</a>",2013,15+,"New Zealand","<p><img alt="""" src=""upload/Imagini_Descriere/SolForex_description.jpg"" style=""float:left; height:212px; width:280px"" />Solforex was founded in 2013 by a veteran management-team with years of experience in the forex and technology industries.<br />
The company is based in Auckland, New Zealand. Solforex is an execution-only forex trading firm that provides trading solutions sophisticated enough for veteran traders, yet simple enough for the forex novice.<br />
Solforex assists retail investors in using forex as an asset class and part of their investment objectives while providing a trading platform with access to market data and client support.<br />
Solforex offers direct access to multiple destinations of liquidity in the forex markets without the usual burdens of a dealing desk.</p>
","Hong Kong, Japan, Nigeria, New Zealand, Singapore, Vietnam"
72,87,"Growell Capital Ltd","<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37666/"">CySEC 214/13</a>",2012,30+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/FxGrow_description.png"" style=""float:left; height:120px; width:300px"" />FxGrow strives to deliver outstanding, innovative, and professional trading services to its clients and partners through the use of state of the art technology. All of our business strategies are built on a framework of the highest ethical standards and values. At FxGrow,<strong> Integrity, Transparency and Commitment</strong> are more than ideals; they are a way of life.</p>

<p>Our dedicated team of employees adopts innovative solutions to bring forth a level of service and efficacy not found anywhere else in the industry. All this and more is geared towards a single purpose, the service of our clients and partners that remains as always, our number one priority. After all, it is only through their continued success that we too can sustain our success.</p>
","Cyprus, Poland, United Kingdom"
