id,name,country,description
45,"Comisia Titlurilor de Valoare din Bahamas",Bahamas,"<p>Comisia Pieței de Capital din Bahamas (&ldquo;Comisia&rdquo;) este o instituție independentă&nbsp;&icirc;nființată&nbsp;&icirc;n 1995 ca urmarea &quot;Securities Board Act din 1995&quot;. Această&nbsp;lege a fost &icirc;mbunătățită&nbsp;și &icirc;nlocuită&nbsp;de noua legislație. Mandatul comisiei este acum definit &icirc;n &quot;Securities Industry Act din 2011 (SIA, 2011)&quot;. Comisia este responsabilă&nbsp;pentru administrarea SIA din 2011 și pentru Investment Funds Act din 2003 (IFA, 2003), ce supraveghează&nbsp;și reglementează&nbsp;activitatea fondurilor de investiții, titlurilor de valoare și a pietei de capital. Comisia a fost propusă&nbsp;pentru aplicarea legii &quot;Inspector of Financial and Corporate Services&quot; efectiv din 1 Ianuarie 2008 și este responsabilă&nbsp;pentru administrarea &quot;Financial and Corporate Service Providers Act&quot; din 2000.</p>

<p>Obiectivul Comisiei este de a supraveghea și reglementa activitățile fondurilor de investiții, titlurilor de valoare și a pietei de capital, de a proteja investitorii totodată&nbsp;cu sporirea &icirc;ncrederii &icirc;n instituțiile publice precum și a integrității acestor piețe.</p>
"
46,"Banca Națională a Republicii Belarus",Belarus,"<p>Banca Națională a Republicii Belarus (denumită &icirc;n continuare &bdquo;Banca Națională&rdquo;) este banca centrală și o agenție guvernamentală a Republicii Belarus care funcționează exclusiv &icirc;n interesul Republicii Belarus.</p>

<p>&Icirc;n desfășurarea activităților sale, Banca Națională este ghidată de Constituția Republicii Belarus, Codul bancar al Republicii Belarus, legile Republicii Belarus, actele juridice de reglementare ale președintelui Republicii Belarus și Statutul Băncii Naționale a Republicii Belarus și este independentă&nbsp;&icirc;n activitățile sale.</p>

<p>Banca Națională este o persoană juridică care are sigiliul cu Stema de stat a Republicii Belarus și o &icirc;nscripție &quot;Национальный банк Республики Беларусь&quot; (Banca Națională a Republicii Belarus).</p>

<p><strong>Principalele obiective ale Băncii Naționale sunt următoarele:</strong></p>

<ul>
	<li>asigurarea stabilității prețurilor;</li>
	<li>menținerea stabilității sistemului bancar din Republica Belarus;</li>
	<li>asigurarea funcționării eficiente, fiabile și sigure a sistemului de plăți.</li>
</ul>
"
47,"Autoritatea de Supraveghere a Pieței de Capital din Liban",Liban,"<p>Autoritatea de supraveghere a pieței&nbsp;de capital (CMA) este un organism de reglementare independent instituit prin Legea nr. 161 a piețelor de capital, ratificată la 17 august 2011. Principala responsabilitate a CMA este reglementarea, supravegherea, licențierea și monitorizarea activităților pieței&nbsp;de capital libaneze conform reglementărilor stipulate prin Legea nr. 161/2011 a pieței&nbsp;de capital.</p>

<p>CMA are două obiective principale care subliniază misiunea și viziunea sa strategică:</p>

<ol>
	<li>Promovarea și dezvoltarea pieței&nbsp;de capital libaneze;</li>
	<li>Protejarea investitorilor &icirc;mpotriva activităților frauduloase, prin emiterea de reglementări care sunt &icirc;n conformitate cu cele mai bune practici internaționale și prin controlul și auditul adecvat al tuturor instituțiilor care se ocupă de instrumente financiare.</li>
</ol>

<p>Conform Legii 161/2011, CMA emite reglementări și supraveghează piețele financiare &icirc;n efortul de a reduce riscul sistemic pe piață, viz&acirc;nd totodată dezvoltarea și promovarea utilizării piețelor de capital &icirc;n Liban. Gestionarea riscurilor se realizează prin promovarea unui cadru de reglementare transparent și a unei supravegheri &icirc;n detaliu&nbsp;a sistemului financiar, care permite CMA să identifice riscurile potențiale care pot dăuna sistematic piețelor financiare și să se angajeze &icirc;n mod prealabil pentru a le atenua.</p>

<p>Din perspectiva protecției investitorilor, CMA recunoaște că emiterea de reglementări diligente &icirc;n numele său este extrem de importantă pentru o funcționare sigură și eficientă a pieței. Ca parte a mandatului său, CMA se concentrează, de asemenea, pe educația investitorilor &icirc;n vederea &icirc;mbunătățirii educației publice și a sensibilizării cu privire la piețele financiare și la riscurile asociate. Acest lucru nu numai că ajută&nbsp;investitorii, dar va &icirc;mbunătăți și eficiența piețelor de capital, va stimula &icirc;ncrederea și va reduce riscul.</p>
"
48,"Comisia Pieței de Capital și a Valorilor Mobiliare a Republicii Cipru",Cipru,"<p>Comisia Pieței de Capital și a Valorilor Mobiliare a Republicii Cipru (CySEC) este o autoritate publică&nbsp;independentă&nbsp;de supraveghere pentru piața serviciilor de investiții financiare și ale tranzacțiilor de valori mobiliare desfășurate &icirc;n cadrul Republicii Cipriote.</p>

<p>CySEC va executa supervizarea eficientă&nbsp;pentru a asigura protecția investitorilor și dezvoltarea corectă&nbsp;a pieței de capital.</p>
"
49,"Comisia Valorilor Mobiliare a Iordaniei",Iordania,"<p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Comisia Valorilor Mobiliare a Iordaniei&nbsp;reglementează, monitorizează&nbsp;și dezvoltă&nbsp;piața de capital a Iordaniei &icirc;n probleme legate de funcționare, activități de servicii financiare și tranzacționare cu valori mobiliare, pentru a spori &icirc;ncrederea &icirc;n economia națională, a &icirc;ncuraja investițiile și a proteja investitorii. De asemenea, actualizează&nbsp;legislația&nbsp;și evoluțiile tehnice &icirc;n mod continuu și conform standardelor recente și a celor mai bune practici internaționale. </span></span></p>

<p><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><strong>Comisia valorilor mobiliare a Iordaniei (FSC) este preocupată să atingă următoarele obiective:</strong> </span></span></p>

<ul>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Reglementarea și dezvoltarea pieței de capital.</span></span></li>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Protejează&nbsp;investitorii &icirc;n valori mobiliare din cadrul Amman Stock Exchange (ASE). </span></span></li>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Protejează&nbsp;piața de capital de riscuri.</span></span></li>
</ul>
"
50,"Comisia Serviciilor Financiare din Gibraltar",Gibraltar,"<p>Comisia pentru servicii financiare din Gibraltar reglementează industria serviciilor financiare din Gibraltar.</p>

<p>Scopul nostru este de a proteja consumatorii, de a spori reputația Gibraltarului ca centru de servicii financiare de calitate și de a promova afaceri sustenabile.</p>

<p>GFSC supraveghează o gamă largă de firme, inclusiv auditori, bănci, manageri de companii, instituții de monedă electronică, furnizori de servicii de plată, furnizori de servicii de fonduri și fonduri, companii de asigurări, manageri și intermediari, firme de investiții și practicieni &icirc;n insolvență.</p>

<p>Firmele care doresc să facă afaceri &icirc;n sau din interiorul Gibraltarului trebuie să &icirc;ndeplinească standardele și criteriile noastre at&acirc;t &icirc;n ​​faza de aplicare, c&acirc;t și &icirc;n mod continuu.</p>

<p>Activitatea noastră de supraveghere se concentrează &icirc;n principal pe:</p>

<ul>
	<li>modul &icirc;n care firmele sunt operate și guvernate;</li>
	<li>identificarea riscurilor pentru consumatori;</li>
	<li>reputația jurisdicției &icirc;n general.</li>
</ul>
"
51,"Reglementatorul Pieței de Capital și a Valorilor Mobiliare din Cambodgia",Cambodgia,"<p><strong><big>Viziunea SECC</big></strong><br />
Reglementatorul Pieței de Capital al Cambodgiei (SECC) este &icirc;nființată &icirc;n conformitate cu legea privind emiterea și tranzacționarea valorilor mobiliare neguvernamentale (Preah Reach Kram nr. NS / RKM / 1007/028). SECC reglementează industria valorilor mobiliare din Cambodgia pentru a contribui la dezvoltarea socio-economică prin mobilizarea de capital din partea investitorilor publici și&nbsp;privați pentru a satisface cererea de finanțare pentru alți antreprenori.</p>

<p><strong><big>Misiunile SECC sunt:</big></strong></p>

<ol>
	<li>Dezvoltarea și menținerea &icirc;ncrederii investitorilor&nbsp;din Regatul Cambodgiei prin protejarea drepturilor lor legale și asigurarea faptului că oferta, emiterea, cumpărarea și v&acirc;nzarea valorilor mobiliare se desfășoară &icirc;ntr-un mod corect și ordonat;</li>
	<li>Promovarea reglementării eficiente, eficienței și dezvoltării ordonate a piețelor valorilor mobiliare;</li>
	<li>&Icirc;ncurajarea varietății de instrumente de economisire prin cumpărarea de valori mobiliare și alte instrumente financiare;</li>
	<li>&Icirc;ncurajarea investițiilor și participării străine pe piețele valorilor mobiliare din Regatul Cambodgiei;</li>
	<li>Sprijin&nbsp;la facilitarea privatizării &icirc;ntreprinderilor de stat din Regatul Cambodgiei.</li>
</ol>
"
52,"Comisia de Supraveghere Financiară din Insulele Cook","Insulele Cook","<p>Comisia de Supraveghere Financiară (FSC) a luat ființă &icirc;n Insulele Cook la 1 iulie 2003, &icirc;nlocuind fosta Comisie pentru Servicii Financiare Offshore. Unitatea de Informații Financiare (FIU) a fuzionat cu FSC la 1 iulie 2012.</p>

<p>Viziunea FSC este:<em><strong>&nbsp;de a fi un organism de reglementare financiar care se angajează să&nbsp;exceleze, să sporească integritatea și să susțină creșterea și dezvoltarea centrului de servicii financiare din Insulele Cook.</strong></em></p>

<p>Declarația de misiune a FSC este:&nbsp;<em><strong>să mențină un regim de supraveghere prudențială și investigativă eficientă, aplic&acirc;nd politici bazate pe riscuri și bazate pe informații, &icirc;n conformitate cu&nbsp;cele mai bune practici acceptate la nivel internațional.</strong></em></p>

<h3><strong>FSC Insulele Cook:</strong></h3>

<ul>
	<li>este un organism independent responsabil de supravegherea entităților financiare reglementate și a serviciilor financiare din Insulele Cook;</li>
	<li>cuprinde Consiliul, Comisarul, Șeful UIF și personalul acesteia, personalul de supraveghere și Registrul Companiilor Internaționale și Trust-urilor Internaționale;</li>
	<li>este autoritatea de acordare a licențelor pentru toate instituțiile financiare, ca bănci, asigurători, &icirc;ntreprinderile de schimb valutar și remitențele și companiile fiduciare;</li>
	<li>operează Registrul companiilor internaționale și străine, al companiilor cu răspundere limitată, al trust-urilor internaționale, al parteneriatelor internaționale și al fundațiilor.</li>
</ul>
"
53,"Banca Centrală a Armeniei",Armenia,"<p>Banca Centrală a Republicii Armenia, &icirc;n scopul de a fi recunoscută ca o entitate prestigioasă, transparentă, independentă, de partajare a cunoștințelor&nbsp;efective, precum și &icirc;n virtutea:</p>

<ul>
	<li>Constituției&nbsp;Republicii Armenia;</li>
	<li>obiectivele care i-au fost conferite prin Legea Republicii Armenia privind Banca Centrală;</li>
	<li>cea mai bună experiență internațională pentru o dezvoltare economică durabilă și o perspectivă pentru integrarea europeană;</li>
	<li>dorința de a juca un rol cheie &icirc;n furnizarea de servicii financiare la nivel regional;</li>
	<li>tendințele de dezvoltare și cea mai bună experiență internațională pentru băncile centrale ca unități instituționale esențiale</li>
</ul>

<p>conturează dezvoltarea potențialului Băncii Centrale și mobilizează resurse &icirc;n următoarele direcții:</p>

<ol>
	<li><em><strong>Politica&nbsp;monetară</strong></em></li>
	<li><em><strong>Stabilitatea și dezvoltarea sistemului financiar</strong></em></li>
	<li><em><strong>Statistici</strong></em></li>
	<li><em><strong>Sistemul de plată și decontare precum și ciclul banilor &icirc;n numerar</strong></em></li>
	<li><em><strong>Dezvoltarea instituțională a Băncii Centrale</strong></em></li>
</ol>
"
54,"Autoritatea de Reglementare a Serviciilor Financiare din Abu Dhabi","Emiratele Arabe Unite","<p>ADGM consideră că o piață corectă, eficientă și transparentă este fundamentală pentru a răspunde nevoilor dinamice și &icirc;n creștere ale economiei Abu Dhabi și ale piețelor globale. Autoritatea de Reglementare a Serviciilor Financiare a ADGM a fost &icirc;nființată pentru a susține un mediu progresiv de servicii financiare și pentru a menține integritatea &icirc;ntregului centru financiar internațional prin gestionarea oricărei expuneri potențiale la riscuri și a impacturilor nedorite.</p>

<p>Cadrul de reglementare al FSRA, ale cărui reglementări și reguli sunt modelate pe standarde și bune practici recunoscute la nivel internațional, asigură că entitățile financiare operează &icirc;n ADGM cu certitudine și fac acest lucru &icirc;n&nbsp;condiții de concurență echitabile și că interesul clienților&nbsp;și a cel a investitorilor&nbsp;este protejat.</p>

<p>FSRA are o abordare deschisă și progresivă &icirc;n menținerea și dezvoltarea cadrului său de reglementare, privind către organismele internaționale de stabilire a standardelor și reacțion&acirc;nd la inovațiile de pe piață și asum&acirc;nd o implicare semnificativă a părților interesate prin consultări publice, atunci c&acirc;nd ia &icirc;n considerare modificări ale cadrului său de reglementare.</p>
"
55,"Comisia de Supraveghere a Sectorului Financiar",Luxemburg,"<p><strong>Comisia de Supraveghere a Sectorului Financiar (The Commission de Surveillance du Secteur Financier - CSSF) este autoritatea de supraveghere a sectorului financiar luxemburghez.</strong></p>

<p>Atribuțiile și domeniul său de competență sunt prevăzute &icirc;n Secțiunea 2 din Legea din 23 decembrie 1998 de instituire a unei comisii de supraveghere a sectorului financiar (&bdquo;Commission de surveillance du secteur financier&rdquo;) (&bdquo;Legea organică&rdquo;).</p>

<p>CSSF &icirc;și &icirc;ndeplinește atribuțiile de supraveghere prudențială și de supraveghere a piețelor &icirc;n scopul asigurării siguranței și solidității sectorului financiar, exclusiv &icirc;n interes public. &Icirc;n limitele atribuțiilor sale, se asigură &icirc;n special că persoanele autorizate și emitenții respectă reglementările aplicabile acestora, inclusiv cele care vizează asigurarea protecției consumatorilor financiari și prevenirea utilizării sectorului financiar &icirc;n scopuri de spălarea banilor sau finanțarea terorismului.</p>

<p>CSSF reprezintă Luxemburgul &icirc;n domeniul supravegherii europene și internaționale.</p>
"
56,"Comisia Națională pentru Companii și Bursa de Valori ",Italia,"<p><strong>Comisia Națională pentru Companii și Bursa de Valori&nbsp;(CONSOB) este autoritatea publică responsabilă cu reglementarea piețelor financiare italiene.</strong></p>

<p>Activitatea sa vizează protecția investitorilor.</p>

<p>&Icirc;n acest sens, CONSOB este autoritatea competentă pentru asigurare:</p>

<ul>
	<li>transparența și comportamentul corect al participanților pe piața financiară;</li>
	<li>dezvăluirea de informații complete și exacte către publicul investitor de către companiile listate;</li>
	<li>acuratețea faptelor reprezentate &icirc;n prospectele referitoare la ofertele de valori mobiliare către publicul investitor;</li>
	<li>respectarea reglementărilor de către auditorii &icirc;nscriși &icirc;n Registrul special.</li>
</ul>

<p>CONSOB desfășoară investigații cu privire la potențialele &icirc;ncălcări ale legii privind tranzacțiile privilegiate și manipularea pieței.</p>
"
57,"Comisia Portugheză pentru Piața Valorilor Mobiliare",Portugalia,"<p><strong>CMVM - Comiss&atilde;o do Mercado de Valores Mobili&aacute;rios&nbsp;(Comisia Portugheză pentru Piața Valorilor Mobiliare)&nbsp;a fost &icirc;nființată &icirc;n mai 1991 (Decretul-Lege nr. 142-A/91 din 10&nbsp;aprilie)</strong>&nbsp;și are sarcina de a supraveghea și reglementa piețele instrumentelor financiare, precum și agenți care operează pe acele piețe și care promovează protecția investitorilor. CMVM are, de asemenea, următoarele responsabilități:</p>

<ul>
	<li>Sancționează &icirc;ncălcările Codului Valorilor Mobiliare și ale legislației suplimentare;</li>
	<li>Asigurarea stabilității piețelor financiare contribuind la identificarea și prevenirea riscului sistemic;</li>
	<li>Contribuie la dezvoltarea piețelor instrumentelor financiare;</li>
	<li>Furnizarea de informații și gestionarea reclamațiilor din partea investitorilor de retail;</li>
	<li>Mediază conflictele dintre entitățile supuse supravegherii sale și dintre acestea și investitori;</li>
	<li>Asistența Guvernului și a membrului său responsabil cu Finanțe;</li>
	<li>&Icirc;ndeplinește orice alte atribuții care &icirc;i sunt atribuite prin lege.</li>
</ul>
"
58,"Banca Centrală a Braziliei",Brazilia,"<p><strong>&Icirc;n 1964, Legea bancară (nr. 4.595) a creat Consiliul Monetar Național (CMN) &mdash; ca cea mai &icirc;naltă autoritate de reglementare macroeconomică și financiară &mdash; și Banca Centrală a Braziliei (Banco Central do Brasil - BCB).</strong></p>

<p>&Icirc;n acest cadru instituțional, BCB &icirc;și &icirc;ndeplinește funcțiile de autoritate monetară, de reglementare și de supraveghere &icirc;n conformitate cu liniile directoare emise de CMN. Este demn de subliniat că guvernatorul BCB are unul dintre cele trei voturi &icirc;n fiecare deliberare a CMN.</p>

<p>Să asigure stabilitatea puterii de cumpărare a monedei, să promoveze un sistem financiar solid, eficient și competitiv și să promoveze bunăstarea economică a societății.</p>

<p>&Icirc;n ceea ce privește stabilitatea prețurilor, BCB consideră că cea mai bună contribuție a&nbsp;politicii monetare&nbsp;la creșterea economică durabilă, șomaj scăzut și &icirc;mbunătățirea condițiilor de viață ale oamenilor este menținerea inflației la un nivel scăzut, stabil și previzibil, &icirc;n concordanță cu experiențele internaționale și interne.</p>

<p>&Icirc;n paralel, BCB definește&nbsp;stabilitatea financiară&nbsp;ca funcționarea regulată, &icirc;n timp și &icirc;n orice scenariu economic, a sistemului responsabil de intermedierea financiară &icirc;ntre gospodării, societăți nefinanciare și guvern.</p>

<p>Prerogativa de reglementare a BCB &icirc;n calitate de supraveghetor financiar este &icirc;mpărtășită cu Comisia Braziliană a Valorilor Mobiliare (CVM), &icirc;n conformitate cu domeniile lor de reglementare respective.</p>
"
59," Autoritatea piețelor de capital din Kenya",Kenya,"<p>Autoritatea Piețelor de Capital este o agenție publică independentă &icirc;nființată printr-un act al Parlamentului, Cap 485 A &icirc;n temeiul Trezoreriei și Planificării Naționale. Autoritatea a luat ființă la 15 decembrie 1989, c&acirc;nd a fost adoptată Legea și a fost inaugurată &icirc;n martie 1990.</p>

<p>CMA este un organism de reglementare &icirc;nsărcinat cu responsabilitatea principală de supraveghere, autorizare și monitorizare a activităților intermediarilor de pe piață, inclusiv a bursei de valori și a sistemului central de depozitare și decontare, precum și a tuturor celorlalte persoane autorizate conform Legii piețelor de capital. Ea joacă un rol esențial &icirc;n economie prin facilitarea mobilizării și alocării resurselor de capital pentru finanțarea investițiilor productive pe termen lung.</p>

<p>Autoritatea &icirc;și derivă competențele de a reglementa și de a supraveghea industria piețelor de capital din Legea piețelor de capital și din regulamentele emise &icirc;n temeiul acesteia. Funcțiile de reglementare ale Autorității, astfel cum sunt prevăzute de lege și de reglementări, includ următoarele:</p>

<ul>
	<li>Licențierea și supravegherea tuturor intermediarilor de pe piața de capital;</li>
	<li>Asigurarea unei conduite corecte a tuturor persoanelor autorizate și a instituțiilor de piață;</li>
	<li>Reglementarea emiterii produselor pieței de capital (obligațiuni, acțiuni etc.);</li>
	<li>Promovarea dezvoltării pieței prin cercetarea de noi produse și instituții;</li>
	<li>Promovarea educației investitorilor și a conștientizării publicului;</li>
	<li>Protejarea intereselor investitorilor;</li>
	<li>Componența Consiliului.</li>
</ul>
"
62,"Autoritatea de Reglementare a Serviciile Financiare din Labuan",Malaezia,"<p>Autoritatea de Reglementare a Serviciile Financiare din Labuan (Labuan FSA) a fost &icirc;nființată la 15 februarie 1996 &icirc;n temeiul Labuan Financial Services Authority Act 1996. Labuan FSA este organismul statutar responsabil pentru dezvoltarea și administrarea Centrului internațional de afaceri și financiar Labuan (Labuan IBFC).</p>

<p>Obiectivele cheie ale Labuan FSA sunt:</p>

<ul>
	<li>Promovarea și dezvoltarea Labuan ca centru internațional pentru afaceri și servicii financiare;</li>
	<li>Dezvoltarea obiectivelor, politicilor și priorităților naționale pentru dezvoltarea și administrarea ordonată a afacerilor internaționale și a serviciilor financiare &icirc;n Labuan;</li>
	<li>Acționează ca autoritate centrală de reglementare, supraveghere și aplicare a industriei internaționale de afaceri și servicii financiare din Labuan.</li>
</ul>

<p>Labuan FSA acordă licențe și reglementează entitățile licențiate care operează &icirc;n cadrul Labuan IBFC și pentru a se asigura că toate aceste entități răm&acirc;n &icirc;n conformitate cu legile și reglementările Labuan și respectă standardele internaționale, care sunt adoptate de jurisdicție. Labuan FSA dezvoltă politici de reglementare pentru a asigura desfășurarea ordonată a afacerilor și a serviciilor financiare &icirc;n Labuan IBFC.</p>"
65,"Agenția de Servicii Financiare a Ministerului de Finanțe din Dominica",Dominica,"<p>Legea <a href=""https://dominica.gov.dm/laws/2008/act18-2008.PDF"">Agenției de Servicii Financiare, 18 din 2008</a>, (PDF 83.14KB) a fost adoptată &icirc;n Camera Adunării la 14 octombrie 2008, publicată &icirc;n Monitorul Oficial la 18 decembrie 2008 și a intrat &icirc;n vigoare la 1 ianuarie 2009. Această lege a stabilit oficial Agenția de Servicii ca autoritate de reglementare.</p>

<p>Un amendament la această lege&nbsp;<a href=""https://dominica.gov.dm/laws/2011/financial_services_unit_amendment_no10.PDF"">[Legea unității de servicii financiare (modificare), 10 din 2011]</a>&nbsp;(PDF 31.37KB), a fost adoptată &icirc;n Camera Adunării la 25 octombrie 2011. Motivul principal al modificării a fost acela de a permite Agenției să monitorizeze și să asigure conformitatea băncilor comerciale cu legislația și reglementările privind prevenirea spălării banilor și finanțarea terorismului.</p>

<p>Obiectivele FSU sunt precizate &icirc;n <a href=""https://www.dominica.gov.dm/laws/2008/act18-2008.pdf"">secțiunea 4 din&nbsp;FSU Act, 18 din 2008&nbsp;</a>(PDF 83.14KB), după cum urmează:</p>

<ul>
	<li>Menține &icirc;ncrederea publicului &icirc;n sistemul financiar;</li>
	<li>Facilitarea descurajării infracțiunilor financiare;</li>
	<li>Supraveghează licențiații de servicii financiare &icirc;n conformitate cu legislația, reglementările și normele &icirc;n vigoare;</li>
	<li>Asigurarea evaluarii periodice a cadrului legislativ și de reglementare &icirc;n concordanță&nbsp;cu evoluțiile din sectorul serviciilor financiare;</li>
	<li>Promovarea celor mai bune practici, asistență reciprocă și schimbul de informații prin menținerea contactului și stabilirea de relații cu autoritățile de reglementare străine, asociațiile internaționale ale organismelor autorităților de reglementare sau grupurile relevante pentru funcțiile sale;</li>
	<li>Facilitarea dezvoltării sectorului serviciilor financiare.</li>
</ul>"
66,"Autoritatea Pieței de Capital din Muntenegru",Muntenegru,"<p>Autoritatea Pieței de Capital este un organism de reglementare independent &icirc;nființat prin lege, pentru a reglementa și supraveghea emisiunea de valori mobiliare și tranzacționarea acestora, &icirc;n conformitate cu regulile și principiile internaționale ale Organizației Internaționale a Comisiilor de Valori Mobiliare (IOSCO), cadrul legal al Uniunii Europene &icirc;n acest domeniu (acquis UE) și regulile Autorității Europene pentru Valori Mobiliare și Piețe&nbsp;(ESMA).</p>

<p>Autoritatea Pieței de Capital se angajează să realizeze viziunea de reglementare modernă a pieței de capital cu obiective precis definite:</p>

<ul>
	<li>&icirc;ncurajarea unei piețe de capital corecte, eficiente și transparente pentru a proteja investitorii &icirc;n valori mobiliare și pentru a reduce riscul sistemic;</li>
	<li>reglementarea emisiunilor de valori mobiliare și a operațiunilor cu aceste valori mobiliare;</li>
	<li>exercitarea funcției de supraveghere asupra pieței de capital;</li>
	<li>educația participanților la piața de capital;</li>
	<li>informarea publicului despre tendințele și evoluția pieței de capital;</li>
	<li>dezvoltarea capacităților strategice interne și a eficienței organizaționale.</li>
</ul>

<p>Autoritatea Pieței de Capital supraveghează &icirc;n mod continuu operațiunile persoanelor și companiilor care tranzacționează &icirc;n mod profesional valori mobiliare, cu scopul de a promova și &icirc;ncuraja standarde &icirc;nalte de protecție a investitorilor și integritatea pieței.</p>"
67,"Consiliul Piețelor de Capital din Turcia",Turcia,"<p>Consiliul Piețelor de Capital din Turcia (CMB) este autoritatea de reglementare și supraveghere responsabilă de piețele valorilor mobiliare din Turcia. &Icirc;mputernicită de Legea Piețelor de Capital (CML), care a fost adoptată &icirc;n 1981, CMB a elaborat reglementări detaliate pentru organizarea piețelor și dezvoltarea instrumentelor și instituțiilor pieței de capital.</p>

<p>Pe baza principalelor obiective de funcționare corectă și ordonată a piețelor și protejarea drepturilor investitorilor, CMB are o gamă largă de responsabilități. &Icirc;n funcție de etapele de dezvoltare ale piețelor și de starea economiei țării, lista de priorități se modifică din c&acirc;nd &icirc;n c&acirc;nd. Totuși, obiectivul major răm&acirc;ne același: luarea măsurilor necesare pentru stimularea dezvoltării piețelor de capital și,&nbsp;prin urmare, contribuția la alocarea eficientă a resurselor financiare &icirc;n țară, asigur&acirc;nd &icirc;n același timp protecția investitorilor.</p>

<p><strong>Declarație de misiune:</strong></p>

<p>Să elaboreze reglementări inovatoare și să efectueze supraveghere cu scopul de a asigura corectitudinea, eficiența și transparența pe piețele de capital din Turcia și de a &icirc;mbunătăți competitivitatea lor internațională.</p>

<p><strong>Scop și obiective:</strong></p>

<p>&Icirc;n cadrul misiunii sale, CMB și-a stabilit principalele obiective strategice:</p>

<ul>
	<li>sporirea protecției investitorilor;</li>
	<li>să adopte normele piețelor internaționale de capital și să le integreze pe deplin &icirc;n reglementări;</li>
	<li>să promoveze și să sporească eficiența pieței at&acirc;t a ofertei, c&acirc;t și a cererii;</li>
	<li>promovarea transparenței și echității pe piețele de capital;</li>
	<li>facilitarea modernizării structurii pieței;</li>
	<li>consolidarea infrastructurii piețelor de capital;</li>
	<li>creșterea calității&nbsp;produselor de lucru și a membrilor personalului consiliului.</li>
</ul>"
