broker_id,headquarters,description,offices
52,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/STO_description.jpg"" style=""float:left; height:174px; width:200px"" />SuperTradingOnline (STO) le oferă clienților diferite căi de tranzacționare pe piețele financiare. Puteți tranzacționa forex, indici, mărfuri, acțiuni și obligațiuni.</p>

<p>Suntem reglementați de Autoritatea de Conduită Financiară (FCA) din Marea Britanie și CySEC, asigur&acirc;nd o relație de &icirc;ncredere cu clienții noștri. Oferim mai multe tipuri de conturi pentru a se potrivi nevoilor dvs. De la contul MT4 Classic, potrivit pentru cei mai mulți traderi, inclusiv &icirc;ncepătorii, prin contul STO Premium, care oferă spreaduri mai mici și condiții de tranzacționare ECN, p&acirc;nă la platforma noastră ATX Fast, care oferă condiții de tranzacționare de nivel instituțional pe forex și metale.</p>
","Africa de Sud, China, Cipru, Italia, Marea Britanie"
53,"Cipru, Vanuatu","<p><img alt="""" src=""/upload/Imagini_Descriere/X-Global-Markets_description.png"" style=""float:left; height:99px; width:290px"" />XGLOBAL Markets a adoptat o abordare revoluționară &icirc;n tranzacționarea Forex pentru a crea un mediu fără egal av&acirc;nd cele mai competitive condiții și fără vreo clasificare. &Icirc;n principiu, toate eforturile s-au concentrat pentru oferirea celei mai bune experiențe de tranzacționare.</p>

<p>Scopul nostru este clar: să le oferim tuturor clienților instrumentele și serviciile de care au nevoie pentru maximizarea potențialului de profit din tranzacționare. Acest lucru este reflectat de alegerea noastră de a utiliza platforma MetaTrader 5&nbsp;care este universal recunoscută drept platforma preferată a traderilor de toate nivelurile. Vom continua să investim masiv &icirc;n nevoile dvs. oferindu-vă instrumentele și serviciile pentru a vă asista &icirc;n a lua decizii mai bune.</p>
",N/A
56,Australia,"<p><img alt="""" src=""upload/Imagini_Descriere/DirectFX.png"" style=""float:left; height:155px; width:310px"" />Fondat &icirc;n 2006, Direct FX Trading Pty Ltd. este lider &icirc;n furnizarea serviciilor FX. Succesul nostru este creat de oamenii noștri și de concentrarea neobosită pe livrarea rezultatelor așa cum trebuie &ndash; oper&acirc;nd reponsabil, execut&acirc;nd excelent, aplic&acirc;nd tehnologii inovatoare și exploatarea noilor oportunități pentru creșterea clienților noștri. Suntem implicați &icirc;n fiecare fațetă a pieței forex.</p>

<p>Misiunea noastră la Direct FX este de a oferi cel mai bun mediu de tranzacționare de pe piața forex. Echipa noastră de profesioniști dedicați lucrează continuu să se asigure că traderii de la Direct FX au instrumentele și resursele de care au nevoie.</p>
","Australia, Statele Unite ale Americii"
57,"Noua Zeelanda","<p><img alt="""" src=""upload/Imagini_Descriere/KVB-Kunlum_description.jpg"" style=""float:left; height:169px; width:300px"" />KVB Kunlun este o corporație internațională de servicii financiare cu operațiuni &icirc;n Auckland, Sydney, Melbourne, Toronto, Hong Kong și Beijing. Ne m&acirc;ndrim cu abordarea profesionistă și disciplinată pe piețele financiare, cum este demonstrat prin primirea autorizațiilor și licențelor din partea organismelor de reglementare din Noua Zeelandă, Australia, Canada și Hong Kong.</p>

<p>Avem o echipă globală de specialiști financiari dedicați oferirii unor servicii de investiții cu adevărat vizionare. Inițialele din numele nostru &ndash; KVB &ndash; ne amintesc de misiunea noastră de a folosi cunoștințele noastre de experți (knowledge) și versatilitatea (versatility) pentru a sparge (break) barierele serviciilor tradiționale de investiții, revoluțion&acirc;nd experiența investițională a clienților noștrii.</p>

<p>KVB Kunlun oferă o combinație unică de forță internațională și flexibilitate locală care ne-a ajutat să creștem repede și ne-a plasat &icirc;n fruntea serviciilor financiare globale internaționale.</p>
","Australia, Canada, Hong Kong, Noua Zeelanda"
58,Elveția,"<p><img alt="""" src=""/upload/Imagini_Descriere/Swissquote_Representative_image.jpg"" style=""float:left; height:194px; width:350px"" />Swissquote a fost creată &icirc;n 1996 și a pus accentul pe inovația tehnologică &icirc;ncă de atunci, devenind repede liderul elvețian indisputabil &icirc;n tranzacționare online și servicii financiare.</p>

<p>Astăzi, ne aflăm printre top 10 brokeri online din lume, sprijinind peste 400,000 de investitori privați și clienți instituționali pentru a tranzacționa o varietate de valute, mărfuri și indici.</p>

<p>&Icirc;nc&acirc;t Swissquote Bank este de asemenea o bancă reglementată, traderii și partenerii beneficiază de cea mai &icirc;naltă securitate bancară și standarde de transparență elvețiene.</p>

<p>Suntem dedicați să asigurăm succesul clienților noștri și să le oferim acces exclusiv la cercetări de piață, resurse educaționale, suport &icirc;n mai multe limbi 24/5 precum și instrumente avansate de tranzacționare.</p>","Elveția, Emiratele Arabe Unite, Hong Kong, Marea Britanie"
59,"New Zealand",,"New Zealand"
60,"Statele Unite ale Americii","<p><img alt="""" src=""upload/Imagini_Descriere/oanda_asset.png"" style=""float:left; height:186px; width:253px"" />OANDA a fost fondată pe baza convingerii că tehnologia și internetul vor globaliza piața, cre&acirc;nd un nivel fără precedent de nevoi de produse și servicii legate de valute. Azi, piața globală forex se ridică la peste 4 trilioane USD/zi (de 30 de ori mai mare dec&acirc;t NASDAQ și NYSE luate &icirc;mpreună) iar &nbsp;piața de retail online reprezintă o proporție din ce &icirc;n ce mai mare din această piață.</p>

<p>Av&acirc;nd una dintre cele mai mari și mai precise baze de date de perechi valutare, OANDA a fost prima companie &icirc;n 1995 care a oferit o mare diversitate de informații legate de ratele de schimb, gratuit online. Azi, are peste 1 milion de cereri &icirc;n fiecare zi.</p>

<p>&Icirc;n 1997, OANDA a devenit furnizor online de aplicații B2B și oferă &icirc;n prezent la peste 75,000 de clienți &icirc;n jurul lumii.</p>

<p>OANDA a fost fondat de Dr. Michael Stumm, profesor de inginerie IT la Universitatea Toronto și Dr. Richard Olsen de la Olsen Ltd., o firmă de top de cercetare-dezvoltare &icirc;n econometrie. Compania a fost &icirc;nregistrată &icirc;n Statul Delaware &icirc;n 1996.</p>
","Australia, Canada, Japonia, Singapore, Marea Britanie, Statele Unite ale Americii"
62,"Marea Britanie","<p><img alt="""" src=""upload/Imagini_Descriere/Alpha_Capital_Markets.png"" style=""float:left; height:258px; width:260px"" />Pe măsură ce reputația și serviciile Alpha au crescut, la fel și extinderea globală a atras afaceri semnificative la nivel global printr-o rețea de parteneri valoroși și prin intermediul clienților, &icirc;n special din Orientul Mijlociu și Asia.</p>

<p>Azi, Alpha are un birou &icirc;n inima cartierului de afaceri din Dubai pentru a ajuta la oferirea celor mai &icirc;nalte servicii locale pentru nevoile regiunii. &Icirc;n ultimii 10 ani, Alpha Capital Markets a avut parte de o creștere excepțională at&acirc;t &icirc;n segmentul retail, precum și &icirc;n segmentul instituțional pe baza valorilor sale de transparență, integritate și expertiză. Abordarea vizionară Alpha &icirc;nseamnă că continuă să &icirc;și dezvolte oferta pe piețe noi și să dezvolte noi tehnologii avansate pentru a răm&acirc;ne &icirc;n fruntea tranzacționării online.</p>
","Emiratele Arabe Unite, Marea Britanie"
63,"Insulele Virgine Britanice","<p><img alt="""" src=""upload/Imagini_Descriere/FIBOGroup.jpg"" style=""float:left; height:178px; width:230px"" /></p>

<p>International Financial Holding FIBO Group (Financial Intermarket Brokerage Online Group) este unul dintre cei mai vechi jucători din tranzacționarea online.</p>

<p>Prima companie a holdingului a fost fondată &icirc;n 1998. &Icirc;ncă din prima zi a activității noastre, respectăm &icirc;ntotdeauna principiile activităților transparente, pentru a proteja interesele clienților și respectarea strictă a respectării legilor și ordinelor aplicabile ale autorităților de reglementare naționale.</p>

<p>Clienții și partenerii noștri pot fi siguri că toate serviciile, furnizate de oricare dintre companiile din cadrul grupului FIBO, &icirc;ndeplinesc cele mai &icirc;nalte standarde internaționale și sunt sub controlul autorităților de reglementare naționale.</p>
","Austria, Chile, China, Cipru, Germania, Insulele Virgine Britanice, Rusia, Singapore"
64,Belize,"<p><img alt="""" src=""upload/Imagini_Descriere/MxTrade_description.png"" style=""float:left; height:212px; width:278px"" />MXTrade este unul dintre brokerii de top Forex și o marcă deținută și operată de Lau Global Services Corporation, o companie de servicii financiare. MXTrade le oferă traderilor surse online de &icirc;ncredere de tranzacționare și servește clienți instituționali &icirc;n peste 140 de țări din lume. MXTrade utilizează cele mai populare și dezvoltate tehnologii de tranzacționare din piață și oferă tranzacționare Forex online robust și de &icirc;ncredere.</p>

<p>MXTrade a fost fondat de un grup de profesioniști cu peste 50 de ani experiență pe piața Forex. MXTrade se străduiește să se asigure că toți clienții de la toate nivelurile primesc cele mai bune condiții de tranzacționare și cel mai bun suport de la Managerii de Cont dedicați pentru a asigura succesul &icirc;n tranzacționarea Forex.</p>
","Africa de Sud, Australia, Belize, Bahrain, Cipru, Danemarca, Elvetia, Germania, Irlanda, Italia, Japonia, Marea Britanie, Turcia, Ucraina"
65,"Marea Britanie","<p><img alt="""" src=""/upload/Imagini_Descriere/HYCM_description.jpg"" style=""float:left; height:100px; width:250px"" />HYCM are sediul &icirc;n Londra și este autorizat și reglementat de Autoritatea de Conduită Financiară (FCA) din Marea Britanie. Grupul are peste 30 de ani de istorie și suntem platforma de tranzacționare preferată de clienții care caută acces direct și de mare viteză pe piețele mondiale de capital.</p>

<p>Această expertiză pe termen lung și angajamentul față de tehnologie și serviciul pentru clienți, ne-au permis să dezvoltăm multiple platforme de tranzacționare pentru a satisface nevoile clienților. Tranzacționați prin platforma de referinta MT4, MT5&nbsp;sau pe platformele noastre mobil pentru iPhone, iPad și dispozitive Android.</p>

<p>Experiența noastră completă de tranzacționare este sprijinită de echipa noastră profesionistă de servicii clienți care se pliază pe nevoile dvs. și pe nivelul dvs. de experiență.</p>
","Cipru, Emiratele Arabe Unite, Hong Kong"
66,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/Fidelis-CM_description.png"" style=""float:left; height:120px; width:300px"" />Brandul Fidelis Capital Markets a fost fondat in 2013 &icirc;n Cipru de un grup de specialiști de v&acirc;rf din industria FX, cu o experiență recunoscută &icirc;n servicii și tehnologii de brokeraj. Compania este reglementată de CySEC cu licența nr. 208/13. De asemenea este &icirc;nregistrat sau autorizat de un număr de organisme profesionale și guvernamentale, precum FCA, BaFIN, CNMV, MiFID, etc.</p>

<p>Fidelis Capital Markets (FCM) este un broker FX creat de experți ai pieței cu o &icirc;nțelegere clară a nevoilor fiecărui trader. Stilul nostru de operare este centrat pe satisfacția clienților, oferirea celor mai bune servicii și condiții de tranzacționare FX precum și un mediu de tranzacționare pur STP.</p>
","Cipru, Emiratele Arabe Unite, India "
67,"Emiratele Arabe Unite","<p><img alt="""" src=""upload/Imagini_Descriere/ADS-Securities-UK_description.png"" style=""float:left; height:169px; width:300px"" />ADS Securities London este o subsidiară a Abu Dhabi Holding LLC și lucrează &icirc;n parteneriat cu ADS Securities LLC, subsidiară a ADS Holding pentru a oferi soluții de tranzacționare de &icirc;naltă calitate. ADS Securities LLC este reglementat de Banca Centrală a EAU și a fost creat &icirc;n 2010 cu un capital de 400 milioane USD.</p>

<p>Condus de o echipă vizionară și incitantă de management av&acirc;nd o experiență internațională, ADS Londra utilizează tehnologia proprie, &bdquo;cea mai bună din gamă&rdquo; pentru a accesa lichidități bancare, non-bancare și din Orientul Mijlociu. Acest lucru le oferă clienților un preț excelent, execuție de &icirc;naltă calitate și o rată de execuție a ordinelor foarte bună.</p>
","Emiratele Arabe Unite, Hong Kong, Marea Britanie, Singapore"
69,"Marea Britanie","<p>LMAX Global este un important broker reglementat și face parte din Grupul LMAX.</p>

<p>Deservind brokeri de retail, companii de investiții și traderi profesioniști, LMAX Global oferă acces la lichidități instituționale profunde, spread-uri restr&acirc;nse și execuție transparentă și precisă, fără respingeri de genul &bdquo;last look&rdquo;. Clienții pot tranzacționa peste 100 de instrumente, inclusiv valute, metale, indici, mărfuri și cryptomonede, și au acces la infrastructura globală &icirc;n Equinix Londra (LD4), New York (NY4) și Tokyo (TY3).</p>

<p>&rsaquo;Spread-uri str&acirc;nse asupra lichidității instituționale profunde de la bănci și furnizori de lichiditate&nbsp;de nivel superior<br />
&rsaquo;Execuție transparentă, fără respingeri de genul &bdquo;last look&rdquo;<br />
&rsaquo;Mediu de tranzacționare reglementat și de &icirc;ncredere<br />
&rsaquo;Peste 100 de instrumente: schimburi valutare, metale, indici, mărfuri și cryptomonede<br />
&rsaquo;LMAX Global face parte din Grupul LMAX, principalul operator de locații de execuție instituțională pentru tranzacționare &icirc;n valută și criptomonede</p>
","Cipru, Gibraltar, Hong Kong, Noua Zeelandă"
70,Muntenegru,"<p><img alt="""" src=""https://static.aforextrading.com/pictures/3196/original.png"" style=""float:left; height:200px; width:200px"" />AMarkets este un borker financiar de top oferind o varietate de produse tranzacționate electronic, inclusiv forex, metale, mărfuri, CFD-uri pentru clienți din toată lumea.</p>

<p>Oferind acces direct pe piețele internaționale executăm mii de tranzacții &icirc;n fiecare zi și oferim clienților noștri toate instrumentele necesare pentru tranzacționare manuală și algoritmică cu soluții avansate de gestionare a banilor.</p>

<p>Misiunea noastră de bază este să &icirc;mbunătățim &icirc;n continuare mediul de tranzacționare și să creștem profitul clienților, oferindu-le instrumente financiare de cea mai bună calitate și consiliere &icirc;n domeniul tranzacționării.</p>
",Muntenegru
71,Australia,"<p><img alt="""" src=""upload/Imagini_Descriere/Aetos_CG_UK.png"" style=""float:left; height:191px; width:253px"" />AETOS Capital Group (AETOS) este un broker online recunoscut global, specializat &icirc;n servicii de tranzacționare de produse financiare. AETOS este dedicat oferirii de produse diversificate clienților de retail și corporate, precum CFD-uri forex, metale, energie, acțiuni, indici și agricultură.</p>

<p>AETOS de asemenea dorește să clădească o platformă de tranzacționare de clasă mondială pentru investitori și să ofere tehnică avansată și servicii de &icirc;ncredere pentru clienți.</p>

<p>AETOS, av&acirc;nd sediile sale &icirc;n Sydney și sediul european &icirc;n Londra, are afaceri ce acoperă cea mai mare parte a zonei Asia-Pacific și se extinde la nivel global.</p>
","Australia, China"
72,"Marea Britanie","<p><img alt="""" src=""/upload/Imagini_Descriere/Land-FX_description.jpg"" style=""float:left; height:200px; width:350px"" /></p>

<p>Land-FX este o companie profesională de FOREX care operează sucursale internaționale &icirc;n 13 țări. Land-FX a fost &icirc;nființat de experți din industrie cu mulți ani de experiență și practică pe piețele financiare.</p>

<p>Land-FX este o ofertă de broker valutar reglementat de FCA UK și&nbsp;FSA&nbsp; SVG pentru tranzacționarea Forex, CFD-uri, Indici, Mărfuri. Land-FX funcționează din 2013 și s-a impus ferm ca broker global. Land-FX oferă tranzacționare pe terminalele MetaTrader4 și MetaTrader5 cu efect de levier nelimitat.</p>

<p>Misiunea Land-FX este de a oferi clienților lor cele mai bune servicii și soluții creative și de a-i ajuta să crească pe această piață financiară globală ce se mișcă&nbsp;&icirc;n ritm rapid.</p>

<p>Pentru siguranța fondurilor clienților noștri, am ales banca NZ Westpac ca cont de custodie. Credem că Noua Zeelandă este o țară sigură și de &icirc;ncredere &icirc;n domeniul financiar. Facem tot posibilul pentru a păstra fondurile clienților noștri &icirc;n siguranță și suntem deschiși să primim reclamații 24 de ore. Credem că acesta este un element esențial pentru dezvoltarea afacerii noastre și a companiei.</p>","Sfântul Vicențiu și Grenadinele"
73,Seychelles,"<p><img alt="""" src=""/upload/Imagini_Descriere/Yadix_description.jpg"" style=""float:left; height:135px; width:300px"" />Yadix oferă un mediu profesional și competitiv de tranzacționare Forex pentru traderi, utilizatorii și dezvoltatorii de roboți, scalperi, hedgeri, investitori și manageri de fonduri. Mediul de tranzacționare livrează un ordin superior de execuție fără re-cotări și spreaduri reduse pentru toate instrumentele Forex.</p>

<p>Oferind servicii de tranzacționare reglementate, clienții pot fi liniștiți că modelul STP fără risc oferă tranzacționare anonim și respectă cele mai bune practici de tranzacționare pentru a asigura execuția &icirc;n viteză și eficientă a ordinelor. Lipsa restricțiilor de tranzacționare la stopuri sau ordine &icirc;n așteptare, lipsa conflictelor de interes sau a oricăror manipulări ale ordinelor sunt practici standard.</p>
","Marea Britanie"
74,"Insulele Cayman","<p><img alt="""" src=""/upload/Imagini_Descriere/Tradeview_description.jpg"" style=""float:left; height:157px; width:300px"" />Tradeview a fost creat &icirc;n 2004 cu o viziune: să ofere soluții de tranzacționare online fără pereche unui mare număr de traderi și investitori din &icirc;ntreaga lume. Suntem mai mult dec&acirc;t o firmă de brokeraj. Tradeview le oferă clienților cea mai nouă tehnologie, flexibilitate și suport personal prin echipa selectă de profesioniști ai pieței. Aceasta &icirc;nseamnă suport pe 24 de ore și proceduri administrative simplificate pentru a asigura că nevoile sunt satisfăcute cu viteză și precizie.</p>

<p>Tradeview este broker/dealer complet &icirc;nregistrat supus reglementărilor Autorității Monetare din Insulele Cayman.</p>","Columbia, Insulele Cayman, Peru, Statele Unite ale Americii, Vietnam"
75,"Insulele Virgine Britanice, Malta, Regatul Unit, Africa de Sud, Australia, Statele Unite ale Americii","<p><img alt="""" src=""/upload/Imagini_Descriere/trive-banner.png"" style=""float:left; height:250px; width:300px"" /></p>

<p>Trive Financial Holdings, cu sediul &icirc;n Țările de Jos, este un grup de companii financiare care furnizează servicii globale de investiții, credit, bancare, administrare de fonduri&nbsp;și asigurări.</p>

<p>Trive Investment B.V. oferă servicii de investiții prin intermediul platformei sale de investiții. Are filiale deținute &icirc;n totalitate pe &icirc;ntreg globul, din Statele Unite p&acirc;nă &icirc;n Europa, Africa, Orientul Mijlociu, Indonezia, Australia și Asia de Sud-Est. Susțin&acirc;nd &icirc;ncrederea a zeci de mii de investitori, companiile numite Trive dețin licențe de la autorități de reglementare recunoscute din &icirc;ntreaga lume, inclusiv Autoritatea de Conduită Financiară (FCA) din Regatul Unit, Autoritatea de Reglementare a Industriei Financiare (FINRA) din Statele Unite, Australia Securities and Investments Commission (ASIC) din Australia, Malta Financial Services Authority (MFSA) din Malta, Central Bank of Hungary (Magyar Nemzeti Bank) din Ungaria, Capital Markets Board (CMB) din Turcia, Commodity Futures Trading Regulatory Agency (BAPPEBTI) din Indonezia, Financial Sector Conduct Authority (FSCA) din Africa de Sud, Financial Services Commission (FSC) din Mauritius și Financial Services Commission (FSC) din Insulele Virgine Britanice.</p>

<p>Oferind investitorilor asistență agilă pentru clienți și experiență bogată &icirc;n investiții, Trive se angajează &icirc;n inovarea constantă bazată pe nevoile clientului. Trive continuă să evolueze continuu pentru a face față provocărilor pieței și pentru a oferi un avantaj competitiv &icirc;ntr-un mediu de investiții &icirc;n continuă schimbare.</p>

<p>Trive Credit B.V., oferă servicii de creditare digitală &icirc;n Europa și Australia. Utilizează tehnologia de evaluare a creditelor bazată pe inteligență artificială pentru un proces de &icirc;mprumut digital fără &icirc;ntreruperi. Segmentul său principal de clienți este format din persoane care au nevoie de &icirc;mprumuturi pe termen scurt și mediu, care apreciază viteza, transparența și comoditatea serviciului.</p>

<p>Trive Bank oferă o experiență digitală cuprinzătoare pentru cei care caută soluții rapide pentru nevoile lor financiare. Deriv&acirc;ndu-și puterea infrastructurală de la Trive Financial Holding, produsele oferite de Trive Bank sunt &icirc;n principal &icirc;mprumuturi de consum, linii de credit suplimentare și servicii bancare digitale.</p>

<p>Trive Portf&ouml;y este o companie de administrare a activelor supusă supravegherii reglementare a CMB. Activitățile organizației includ supravegherea fondurilor mutuale și furnizarea de servicii private de administrare a portofoliului investitorilor. Compania de servicii de investiții Trive Yatırım și firma de brokeraj TFG Istanbul sunt, de asemenea, autorizate și reglementate de CMB.</p>

<p>Trive Sigorta oferă servicii de brokeraj &icirc;n asigurări, corporațiilor, persoanelor fizice și IMM-urilor din &icirc;ntreaga Turcie. Procură polițe de asigurare pentru clienții săi de la diverși asigurători &icirc;n cele mai avantajoase condiții. Compania deține licențe de intermediere de la Agenția de Supraveghere și Reglementare a Asigurărilor și Pensiilor Private (SEDDK/IPPRS) pentru viață, non-viață și reasigurare.</p>","Cambodgia, China, Indonezia, Malaezia, Thailanda, Vietnam, Turcia, Germania, Spania"
76,Malta,"<p>Cu sediul principal in Malta, un hub emergent atat pentru piata forex cat si pentru piata finantelor globale, FXDD reuneste o forta de munca diversa, a 180 de specialiste Forex, fluenti in 13 limbi. FXDD ofera servicii de tranzactionare pentru investitor de retail, investitori institutionali, fonduri de hedging, manageri de fonduri, sucursale sau agenti delegati. Fiecare din serviciile noastre sunt dedicate nevoilor si strategiilor fiecarui trader in parte.</p>

<p>Expunerea globala si abilitatea de a dezvolta tehnologii inovatoare la un nivel ce depaseste alti competitori din piata a ajutat FXDD sa devina un lider global in tranzactionarea forex. Deoarece noi continuam sa ne dezvoltam atat pe partea de servicii cat si pe partea de tehnologie, oferim posibilitatea traderilor sa beneficieze de cele mai bune conditii din piata forex.</p>
","Malta, Statele Unite ale Americii"
77,"Marea Britanie","<p><img alt="""" src=""upload/Imagini_Descriere/Capital-Index_description.png"" style=""float:left; height:104px; width:300px"" />Fondata in 2014, Capital Index este o companie globala de trading specializata in CFD-uri. Financia Spread Betting si Spread Trading pe o serie de instrumente financiare, incluzand Foreign Exchange (FX), Commodities, Indici si Metale.</p>

<p>Cu operatiuni in UK, Australia, Africa de Sud si Cipru, compania beneficiaza de experienta unor traderi si profesionisti cu reputatie distinsa in piata financiara, care se caracterizeaza prin cunostinte de profunzime, puternic focus pe client si angajament pentru standardele etice.</p>

<p>Acestia sunt sustinuti de o infrastructura tehnica avansata care ofera un mediu online de trading deosebit de eficient si rapid.</p>
","Africa de Sud, Australia, Cipru, Marea Britanie"
79,"Marea Britanie","<p><img alt="""" src=""/upload/Imagini_Descriere/Valutrades-description.png"" style=""float:left; height:250px; width:300px"" />Valutrades reprezintă o garanție pentru profesionalist, educație și servicii de calitate. Focusul principal al Valutrades este reprezentat de clienții noștri și construirea unei relații de lungă durată at&acirc;t cu ei și c&acirc;t și cu partenerii noștri. Vautrades livrează un mediu transparent pentru clienții săi și &icirc;n timp ce competitorii Valutrades promit mai mult dec&acirc;t pot livra, filozofia Valutrades este să depășească &icirc;ntotdeauna așteptările.</p>

<p>Valutrades &icirc;și are sediul &icirc;n Londra, &icirc;n inima principalului hub financiar al Europei și este reglementată de Autoritatea de Supraveghere Financiară din UK (FCA), cu numărul licenței 586541. Valutrades este membru &icirc;n Schema de Compensare a Investitorilor. Protejarea conturilor clienților este segregată &icirc;n conturile BARCLAYS (UK).</p>

<p>VALUTRADES (SEYCHELLES) LIMITED este o companie cu răspundere limitată, &icirc;nregistrată &icirc;n Republica Seychelles, cu sediul &icirc;n Eden Plaza, etajul 1, Biroul F20, Eden Island, Seychelles. VALUTRADES (SEYCHELLES) LIMITED este autorizată și reglementată de Autoritatea Serviciilor Financiare din Seychelles av&acirc;nd licența de dealer de instrumente financiare numărul&nbsp;SD028.</p>","Marea Britanie, Seychelles"
80,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/ViproMarkets_description.jpg"" style=""float:left; height:169px; width:300px"" />Vipro Markets este un broker de derivate global cu interes principal in Forex, Indici, Marfuri si Metale Pretioase. Suntem atat la dispozitia clientilor institutionali, cat si celor de retail din intreaga lume, avand o pasiune asidua pentru a oferi servicii de inalt calibru si transparenta.</p>

<p>Vipro Markets este autorizat si reglementat de Comisia pentru Valori Mobiliare si Bursa din Cipru (CySEC), cu numarul de licenta 278/15 si este membru al Fondului de Compensare al Investitorilor.</p>
",Cipru
82,Grecia,"<p>KeyStock ofera posibilitatea unei selectii de produse variate si platforme de tranzactionare puternice. De la Forex la Indici, Commodities si Stocks, clientul KeyStock poate tranzactiona precum ii dicteaza propria strategie si beneficiind de levier de 1:200 si de spread-uri fixe sau variabile. In ceea ce priveste platformele de tranzactionare, Keystock ofera posibilitatea de alegere intre 7 platforme- de la MetaTrader 4, pana la MarketTrader- cu varianta de download, bazata pe sistemul de operare Windows si la recent lansata aplicatie de iPhone/iPad. Cu o puternica reputatie din 1991, KeyStock este un partener de incredere al nevoilor tale de investitie!</p>
","Cehia, Grecia, Polonia, Romania, Spania"
83,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/Trade.com_description.jpg"" style=""float:left; height:213px; width:280px"" />TRADE.com este brandul companiei Leadcapital Markets Ltd, o casa de brokeraj licentiata si reglementata de CySEC, ce se aliniaza standardelor MiFID (UE) si inregistrata la toate entitatile de reglementare membre ale UE, incluzand dar fara a se limita la: <a href=""http://www.fsa.gov.uk/register/firmPassports.do?sid=340498"" target=""_blank"">FCA (Marea Britanie)</a>, AMF (Franta) si BaFin (Germania).</p>

<p>Urmarim repere stricte in ceea ce privesc fondurile clientilor nostrii, asigurand ca acestea sunt pastrate in banci de top, cu o reputatie buna si tot timpul separate de fondurile proprii ale companiei.&nbsp; Suplimentar, acordam o importanta ridicata pastrarii confidentialitatii datelor clientilor nostrii si am implementat pentru acest lucru proceduri si protocoale de securitate stricte ale website-ului nostru.</p>
",Cipru
84,Cipru,"<p><img alt="""" src=""/upload/Imagini_Descriere/GBE-Brokers.jpg"" style=""float:left; height:300px; width:300px"" /></p>

<p>GBE Brokers este un broker reglementat de CFD-uri&nbsp;cu un birou german &icirc;n portul Hamburg. Echipa noastră t&acirc;nără și profesionistă&nbsp;a fost alcătuită &icirc;n mod deliberat &icirc;ntr-un mod multicultural, astfel &icirc;nc&acirc;t să puteți beneficia de experiența noastră internațională și extinsă pe piața bancară și financiară.</p>

<p>Deoarece cu experiența, competența și concentrarea noastră asupra nevoilor traderilor noștrii, ne &icirc;mbunătățim continuu procesele, sfera serviciilor și portofoliul de produse. Prin urmare, o temă centrală &icirc;n această dezvoltare este dreptul nostru la o comunicare corectă și directă cu clienții, angajații și partenerii. Doar așa putem continua să promovăm viziunea companiei de a &bdquo;face tranzacționarea online mai accesibilă persoanelor private&rdquo;, &icirc;nțeleg&acirc;nd onestitatea și transparența. Suntem m&acirc;ndrii că am implementat deja cu succes acest lucru, iar&nbsp;GBE brokers este astăzi unul dintre cei mai de succes furnizori de CFD-uri din Germania.</p>

<p>GBE Brokers nu ar fi probabil nimic fără baza mare de clienți fideli cărora le oferim cea mai bună experiență de tranzacționare posibilă prin re&icirc;nnoirile noastre constante. &Icirc;nțelegem că fiecare trader are nevoi individuale și diferite strategii de tranzacționare sau obiective de investiții. De aceea, am proiectat serviciul nostru de tranzacționare inovator pentru a ne adapta perfect la nevoile dvs.</p>

<p>Serviciul nostru se adresează &icirc;n special clienților privați de naționalitate germană și clienților instituționali cu accent internațional, care doresc să tranzacționeze Forex și CFD-uri cu noi. Cu noi, vă puteți baza pe o persoană de contact personală, cu o bună imagine de ansamblu și o expertiză solidă. Persoana dvs. de contact personală vă poate &icirc;nsoți la fiecare pas și este disponibilă pentru a răspunde la orice &icirc;ntrebări pe care le aveți cu privire la platformele noastre de tranzacționare sau la contul dvs. de tranzacționare. &Icirc;n acest proces continuu, opinia dvs. este extrem de importantă pentru noi și vom face tot ce putem pentru a ne dezvolta serviciile, astfel &icirc;nc&acirc;t să fiți &icirc;ntotdeauna mulțumiți de GBE Brokers.</p>
",Germania
